data,hora,t1,t2,x,y,z
01/08/2011,11:15:46.00,4,8,291533.275,7606704.685,-3.192
01/08/2011,11:15:47.00,4,8,291533.262,7606704.688,-3.190
01/08/2011,11:15:48.00,4,8,291532.802,7606704.805,-2.989
01/08/2011,11:15:49.00,4,8,291531.828,7606704.982,-2.827
01/08/2011,11:15:50.00,4,8,291530.840,7606705.146,-2.615
01/08/2011,11:15:51.00,4,8,291529.816,7606705.289,-2.402
01/08/2011,11:15:52.00,4,8,291528.709,7606705.364,-2.080
01/08/2011,11:15:53.00,4,8,291527.877,7606705.582,-1.746
01/08/2011,11:15:54.00,4,8,291527.057,7606705.780,-1.503
01/08/2011,11:15:55.00,4,8,291526.157,7606706.005,-1.254
01/08/2011,11:15:56.00,4,8,291525.216,7606706.238,-1.047
01/08/2011,11:15:57.00,4,8,291524.384,7606706.493,-0.883
01/08/2011,11:15:58.00,4,8,291523.820,7606706.592,-0.892
01/08/2011,11:15:59.00,4,7,291523.682,7606706.660,-0.873
01/08/2011,11:16:00.00,4,8,291523.734,7606706.666,-0.883
01/08/2011,11:16:01.00,4,8,291523.734,7606706.680,-0.883
01/08/2011,11:16:02.00,4,8,291523.733,7606706.679,-0.880
01/08/2011,11:16:03.00,4,8,291523.718,7606706.685,-0.885
01/08/2011,11:16:04.00,4,8,291523.719,7606706.691,-0.883
01/08/2011,11:16:05.00,4,7,291523.708,7606706.692,-0.881
01/08/2011,11:16:06.00,4,7,291523.412,7606706.698,-0.744
01/08/2011,11:16:07.00,4,7,291522.709,7606706.861,-0.658
01/08/2011,11:16:08.00,4,7,291521.755,7606706.896,-0.543
01/08/2011,11:16:09.00,4,8,291520.854,7606706.885,-0.441
01/08/2011,11:16:10.00,4,8,291519.715,7606707.232,-0.430
01/08/2011,11:16:11.00,4,7,291518.602,7606707.619,-0.385
01/08/2011,11:16:12.00,4,8,291517.561,7606708.033,-0.333
01/08/2011,11:16:13.00,4,8,291516.362,7606708.333,-0.337
01/08/2011,11:16:14.00,4,8,291515.211,7606708.515,-0.233
01/08/2011,11:16:15.00,4,8,291514.086,7606708.696,-0.190
01/08/2011,11:16:16.00,4,8,291512.853,7606709.048,-0.087
01/08/2011,11:16:17.00,4,8,291511.594,7606709.354,0.001
01/08/2011,11:16:18.00,4,8,291510.334,7606709.653,0.115
01/08/2011,11:16:19.00,4,8,291509.159,7606709.958,0.185
01/08/2011,11:16:20.00,4,8,291508.035,7606710.170,0.272
01/08/2011,11:16:21.00,4,8,291506.907,7606710.605,0.311
01/08/2011,11:16:22.00,4,8,291505.777,7606710.904,0.367
01/08/2011,11:16:23.00,4,8,291504.655,7606711.229,0.417
01/08/2011,11:16:24.00,4,8,291503.517,7606711.585,0.429
01/08/2011,11:16:25.00,4,8,291502.250,7606712.006,0.435
01/08/2011,11:16:26.00,4,8,291501.072,7606712.287,0.496
01/08/2011,11:16:27.00,4,8,291499.866,7606712.525,0.495
01/08/2011,11:16:28.00,4,8,291498.796,7606712.753,0.451
01/08/2011,11:16:29.00,4,8,291498.086,7606713.009,0.328
01/08/2011,11:16:30.00,4,8,291498.014,7606712.991,0.318
01/08/2011,11:16:31.00,4,8,291497.987,7606713.024,0.317
01/08/2011,11:16:32.00,4,8,291498.001,7606713.035,0.310
01/08/2011,11:16:33.00,4,8,291497.988,7606713.037,0.302
01/08/2011,11:16:34.00,4,8,291497.980,7606713.038,0.314
01/08/2011,11:16:35.00,4,8,291497.960,7606712.987,0.330
